id,classe,vizinho_mais_proximo,classe_vizinho,distancia,mesma_classe
capc_088,capc,normal_095,normal,53.833940868415844,False
capc_089,capc,capc_004,capc,73.28731820573545,True
capc_090,capc,normal_091,normal,47.3128412354418,False
capc_091,capc,normal_081,normal,28.32706297524375,False
capc_092,capc,notch_050,notch,48.54883097764703,False
capc_093,capc,capc_074,capc,27.326604560071303,True
capc_094,capc,normal_082,normal,37.9156778569284,False
capc_095,capc,notch_040,notch,35.40821906085522,False
capc_096,capc,notch_058,notch,62.93862559798177,False
capc_097,capc,normal_085,normal,39.531410992150896,False
capc_098,capc,normal_080,normal,20.355390994706404,False
capc_099,capc,notch_070,notch,50.34654917371706,False
har_000,har,har_087,har,28.006428609553595,True
har_001,har,har_093,har,28.672273963312293,True
har_002,har,har_095,har,27.305964596774892,True
har_003,har,har_077,har,26.126618937457497,True
har_004,har,har_089,har,28.284780396479224,True
har_005,har,har_066,har,27.525314082377157,True
har_006,har,har_056,har,31.12296521315461,True
har_007,har,har_072,har,24.836143488445046,True
har_008,har,har_077,har,25.378299500438413,True
har_009,har,har_095,har,25.98638558239682,True
har_010,har,har_036,har,28.18058702865377,True
har_011,har,har_080,har,26.295376975403062,True
har_012,har,har_072,har,25.37495308478419,True
har_013,har,har_074,har,25.832668843030593,True
har_014,har,har_082,har,26.742642885291783,True
har_015,har,har_039,har,27.790988999830308,True
har_016,har,har_082,har,29.997950919654656,True
har_017,har,har_095,har,25.823170499397175,True
har_018,har,har_095,har,27.439878044103825,True
har_019,har,har_044,har,25.49239241993314,True
har_020,har,har_082,har,27.125467701872285,True
har_021,har,har_099,har,28.626720704130708,True
har_022,har,har_074,har,28.4750200101052,True
har_023,har,har_094,har,28.418039615189894,True
har_024,har,har_080,har,27.27476820687932,True
har_025,har,har_072,har,25.831270538867987,True
har_026,har,har_099,har,26.09201176648582,True
har_027,har,har_070,har,27.72416757612722,True
har_028,har,har_099,har,27.023823773164057,True
har_029,har,har_072,har,24.651249325889143,True
har_030,har,har_080,har,27.798390876853805,True
har_031,har,har_099,har,27.907547166383615,True
har_032,har,har_087,har,25.723777914766547,True
har_033,har,har_077,har,26.255355651843395,True
har_034,har,har_075,har,11.60971041711716,True
har_035,har,har_072,har,10.475897267277176,True
har_036,har,har_099,har,12.000606262850166,True
har_037,har,har_098,har,11.398728370237697,True
har_038,har,har_097,har,10.709781129492121,True
har_039,har,har_082,har,12.400966667451472,True
har_040,har,har_091,har,12.104331388025436,True
har_041,har,har_095,har,11.206629748468044,True
har_042,har,har_074,har,10.65398231006209,True
har_043,har,har_081,har,13.430051175163214,True
har_044,har,har_089,har,10.895425050785915,True
har_045,har,har_087,har,15.27791623266113,True
har_046,har,har_080,har,10.187495279763073,True
